=== PROCESS STARTED AT 2026-03-19 01:31:20 ===
Found 90 pending commissions
Processing: shonu=186488, user=113942, amount=8
✅ Processed: user 113942, amount 8, process_date 2026-03-19 01:31:20
Processing: shonu=186489, user=113930, amount=5
✅ Processed: user 113930, amount 5, process_date 2026-03-19 01:31:20
Processing: shonu=186490, user=113616, amount=1.6
✅ Processed: user 113616, amount 1.6, process_date 2026-03-19 01:31:20
Processing: shonu=186491, user=113615, amount=0.2
✅ Processed: user 113615, amount 0.2, process_date 2026-03-19 01:31:20
Processing: shonu=186492, user=113614, amount=0.1
✅ Processed: user 113614, amount 0.1, process_date 2026-03-19 01:31:20
Processing: shonu=186493, user=113607, amount=0.04
✅ Processed: user 113607, amount 0.04, process_date 2026-03-19 01:31:20
Processing: shonu=186494, user=113942, amount=0.04
✅ Processed: user 113942, amount 0.04, process_date 2026-03-19 01:31:20
Processing: shonu=186495, user=113930, amount=0.025
✅ Processed: user 113930, amount 0.025, process_date 2026-03-19 01:31:20
Processing: shonu=186496, user=113616, amount=0.008
✅ Processed: user 113616, amount 0.008, process_date 2026-03-19 01:31:20
Processing: shonu=186497, user=113615, amount=0.001
✅ Processed: user 113615, amount 0.001, process_date 2026-03-19 01:31:20
Processing: shonu=186498, user=113614, amount=0.0005
✅ Processed: user 113614, amount 0.0005, process_date 2026-03-19 01:31:20
Processing: shonu=186499, user=113607, amount=0.0002
✅ Processed: user 113607, amount 0.0002, process_date 2026-03-19 01:31:20
Processing: shonu=186500, user=113942, amount=0.08
✅ Processed: user 113942, amount 0.08, process_date 2026-03-19 01:31:20
Processing: shonu=186501, user=113930, amount=0.05
✅ Processed: user 113930, amount 0.05, process_date 2026-03-19 01:31:20
Processing: shonu=186502, user=113616, amount=0.016
✅ Processed: user 113616, amount 0.016, process_date 2026-03-19 01:31:20
Processing: shonu=186503, user=113615, amount=0.002
✅ Processed: user 113615, amount 0.002, process_date 2026-03-19 01:31:20
Processing: shonu=186504, user=113614, amount=0.001
✅ Processed: user 113614, amount 0.001, process_date 2026-03-19 01:31:20
Processing: shonu=186505, user=113607, amount=0.0004
✅ Processed: user 113607, amount 0.0004, process_date 2026-03-19 01:31:20
Processing: shonu=186506, user=113942, amount=0.24
✅ Processed: user 113942, amount 0.24, process_date 2026-03-19 01:31:20
Processing: shonu=186507, user=113930, amount=0.15
✅ Processed: user 113930, amount 0.15, process_date 2026-03-19 01:31:20
Processing: shonu=186508, user=113616, amount=0.048
✅ Processed: user 113616, amount 0.048, process_date 2026-03-19 01:31:20
Processing: shonu=186509, user=113615, amount=0.006
✅ Processed: user 113615, amount 0.006, process_date 2026-03-19 01:31:20
Processing: shonu=186510, user=113614, amount=0.003
✅ Processed: user 113614, amount 0.003, process_date 2026-03-19 01:31:20
Processing: shonu=186511, user=113607, amount=0.0012
